id	id_col	dir
K1022_GB114	sample	/nemo/lab/turajlics/home/users/dengd/scRNA_seq/proj_PDOT_Parse/output/Parse_lib_1/all-well/DGE_filtered/
K1022_GB120	sample	/nemo/lab/turajlics/home/users/dengd/scRNA_seq/proj_PDOT_Parse/output/Parse_lib_1/all-well/DGE_filtered/
K1030_GB116	sample	/nemo/lab/turajlics/home/users/dengd/scRNA_seq/proj_PDOT_Parse/output/Parse_lib_1/all-well/DGE_filtered/
K1030_GB119	sample	/nemo/lab/turajlics/home/users/dengd/scRNA_seq/proj_PDOT_Parse/output/Parse_lib_1/all-well/DGE_filtered/
K1030_GB216	sample	/nemo/lab/turajlics/home/users/dengd/scRNA_seq/proj_PDOT_Parse/output/Parse_lib_1/all-well/DGE_filtered/
K1030_GB222	sample	/nemo/lab/turajlics/home/users/dengd/scRNA_seq/proj_PDOT_Parse/output/Parse_lib_1/all-well/DGE_filtered/
K1030_GN106	sample	/nemo/lab/turajlics/home/users/dengd/scRNA_seq/proj_PDOT_Parse/output/Parse_lib_1/all-well/DGE_filtered/
K1040_GB107	sample	/nemo/lab/turajlics/home/users/dengd/scRNA_seq/proj_PDOT_Parse/output/Parse_lib_1/all-well/DGE_filtered/
K1063_GB107	sample	/nemo/lab/turajlics/home/users/dengd/scRNA_seq/proj_PDOT_Parse/output/Parse_lib_1/all-well/DGE_filtered/
K1063_GB112	sample	/nemo/lab/turajlics/home/users/dengd/scRNA_seq/proj_PDOT_Parse/output/Parse_lib_1/all-well/DGE_filtered/
K1063_GB208	sample	/nemo/lab/turajlics/home/users/dengd/scRNA_seq/proj_PDOT_Parse/output/Parse_lib_1/all-well/DGE_filtered/
K1063_GB213	sample	/nemo/lab/turajlics/home/users/dengd/scRNA_seq/proj_PDOT_Parse/output/Parse_lib_1/all-well/DGE_filtered/
